wilaya_id,wilaya_name,communes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adrar,Adrar 1400/1200,Tamest 1600/1200,Charouine 1400/1200,Reggane 1700/1200,In Zghmir 1700/1200,Tit 1700/1200,Ksar Kaddour 1400/1200,Tsabit 1600/1200,Timimoun 1400/1200,Ouled Saïd 1400/1200,Zaouiet Kounta 1600/1200,Aoulef 1700/1200,Tamekten 1700/1200,Tamantit 1400/1200,Fenoughil 1600/1200,Tinerkouk 1600/1200,Deldoul 1700/1200,Sali 1700/1200,Akabli 1700/1200,Metarfa 1700/1200,Ouled Ahmed Tammi 1400/1200,Bouda 1400/1200,Aougrout 1600/1200,Talmine 1600/1200,Bordj Badji Mokhtar 1700/1200,Sebaa 1400/1200,Ouled Aïssa 1600/1200,Timiaouine 1700/1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chlef,Abou El Hassan 900/650,Aïn Merane 1000/650,Bénairia 900/650,Beni Bouateb 1000/650,Beni Haoua 1000/650,Beni Rached 900/650,Boukadir 900/650,Bouzeghaia 900/650,Breira 1000/650,Chettia 800/650,Chlef 800/650,Dahra 1100/650,El Hadjadj 900/650,El Karimia 900/650,El Marsa 900/650,Harchoun 900/650,Harenfa 1000/650,Labiod Medjadja 800/650,Moussadek 1000/650,Oued Fodda 900/650,Oued Goussine 1000/650,Oued Sly 800/650,Ouled Abbes 900/650,Ouled Ben Abdelkader 900/650,Ouled Fares 800/650,Oum Drou 800/650,Sendjas 800/650,Sidi Abderrahmane 1000/650,Sidi Akkacha 1000/650,Sobha 900/650,Tadjena 1000/650,Talassa 1000/650,Taougrite 1000/650,Ténès 1000/650,Zeboudja 900/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Laghouat,Laghouat 950/900,Ksar El Hirane 1050/900,Bennasser Benchohra 1050/900,Sidi Makhlouf 1150/900,Hassi Delaa 1250/900,Hassi R'Mel 1250/900,Aïn Madhi 1150/900,Tadjemout 1150/900,Kheneg 950/900,Gueltat Sidi Saad 1250/900,Aïn Sidi Ali 1150/900,Beidha 1250/900,Brida 1250/900,El Ghicha 1250/900,Hadj Mechri 1250/900,Sebgag 1250/900,Taouiala 1250/900,Tadjrouna 1250/900,Aflou 1250/900,El Assafia 1250/900,Oued Morra 1250/900,Oued M'Zi 1250/900,El Houaita 1150/900,Sidi Bouzid 1250/900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oum El Bouaghi,Oum el Bouaghi 800/650,Aïn Beïda 900/650,Aïn M'lila 1000/650,Behir Chergui 1000/650,El Amiria 900/650,Sigus 900/650,El Belala 1100/650,Aïn Babouche 800/650,Berriche 900/650,Ouled Hamla 800/650,Dhalaa 1000/650,Aïn Kercha 900/650,Hanchir Toumghani 900/650,El Djazia 1000/650,Aïn Diss 900/650,Fkirina 900/650,Souk Naamane 900/650,Zorg 1000/650,El Fedjoudj Boughrara Saoudi 1000/650,Ouled Zouaï 900/650,Bir Chouhada 900/650,Ksar Sbahi 900/650,Oued Nini 1000/650,Meskiana 1000/650,Aïn Fakroun 900/650,Rahia 1000/650,Aïn Zitoun 900/650,Ouled Gacem 800/650,El Harmilia 800/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Batna,Batna 800/650,Ghassira 900/650,Maafa 1000/650,Merouana 1000/650,Seriana 900/650,Menaa 900/650,El Madher 900/650,Tazoult 800/650,N'Gaous 900/650,Guigba 900/650,Inoughissen 1000/650,Ouyoun El Assafir 800/650,Djerma 900/650,Bitam 1100/650,Abdelkader Azil 1100/650,Arris 1000/650,Kimmel 900/650,Tilatou 1000/650,Aïn Djasser 1000/650,Ouled Sellam 1000/650,Tigherghar 900/650,Aïn Yagout 900/650,Fesdis 800/650,Sefiane 900/650,Rahbat 900/650,Tighanimine 1000/650,Lemsane 1000/650,Ksar Bellezma 1000/650,Seggana 1000/650,Ichmoul 900/650,Foum Toub 900/650,Ben Foudhala El Hakania 1000/650,Oued El Ma 900/650,Talkhamt 1000/650,Bouzina 1000/650,Chemora 1000/650,Oued Chaaba 900/650,Taxlent 1000/650,Gosbat 900/650,Ouled Aouf 1000/650,Boumagueur 900/650,Barika 900/650,Djezar 1100/650,T'Kout 900/650,Aïn Touta 900/650,Hidoussa 900/650,Teniet El Abed 1000/650,Oued Taga 900/650,Ouled Fadel 900/650,Timgad 900/650,Ras El Aioun 1000/650,Chir 1000/650,Ouled Si Slimane 900/650,Zanat El Beida 900/650,M'doukel 1100/650,Ouled Ammar 1100/650,El Hassi 1000/650,Lazrou 900/650,Boumia (Batna) 900/650,Boulhilat 1000/650,Larbaâ 1000/650,,,,,,
6,Béjaïa,Béjaïa 800/650,Amizour 900/650,Ferraoun 1000/650,Taourirt Ighil 1000/650,Chellata 800/650,Tamokra 900/650,Timezrit 900/650,Souk El Ténine 900/650,M'cisna 900/650,Tinabdher 900/650,Tichy 900/650,Semaoun 1000/650,Kendira 900/650,Tifra 900/650,Ighram 800/650,Amalou 800/650,Ighil Ali 900/650,Fenaïa Ilmaten 900/650,Toudja 900/650,Darguina 1000/650,Sidi Ayad 900/650,Aokas 800/650,Ait Djellil 1000/650,Adekar 1000/650,Akbou 800/650,Seddouk 900/650,Tazmalt 900/650,Aït R'zine 900/650,Chemini 900/650,Souk Oufella 900/650,Tibane 900/650,Tala Hamza 800/650,Barbacha 900/650,Aït Ksila 1000/650,Ouzellaguen 800/650,Bouhamza 900/650,Taskriout 1000/650,Aït Mellikeche 900/650,Sidi Aïch 900/650,El Kseur 900/650,Melbou 900/650,Akfadou 1000/650,Leflaye 900/650,Kherrata 1000/650,Draâ El Kaïd 1000/650,Tamridjet 1000/650,Aït Smail 1000/650,Boukhelifa 900/650,Tizi N'Berber 900/650,Aït Maouche 900/650,Oued Ghir 800/650,Boudjellil 900/650,,,,,,,,,,,,,,,
7,Biskra,Aïn Naga 1150/900,Aïn Zaatout 1150/900,Besbes 1150/900,Biskra 950/900,Bordj Ben Azzouz 1050/900,Bouchagroune 1050/900,Branis 1050/900,Chetma 950/900,Djemorah 1050/900,Doucen 1050/900,Ech Chaïba 1150/900,El Feidh 1250/900,El Ghrous 1150/900,El Hadjeb 950/900,El Haouch 1150/900,El Kantara 1150/900,El Mizaraa 1150/900,El Outaya 1050/900,Foughala 1150/900,Khenguet Sidi Nadji 1250/900,Lichana 1050/900,Lioua 1150/900,M'Chouneche 1050/900,Mekhadma 1150/900,M'Lili 1050/900,Ouled Djellal 950/900,Oumache 1050/900,Ourlal 1050/900,Ras El Miaad 1250/900,Sidi Khaled 1050/900,Sidi Okba 1050/900,Tolga 1250/900,Zeribet El Oued 1150/900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Béchar,Béchar 1400/1200,Erg Ferradj 1700/1200,Ouled Khoudir 1700/1200,Meridja 1600/1200,Timoudi 1700/1200,Lahmar 1500/1200,Béni Abbès 1700/1200,Beni Ikhlef 1700/1200,Mechraa Houari Boumedienne 1700/1200,Kenadsa 1500/1200,Igli 1600/1200,Tabelbala 1700/1200,Taghit 1700/1200,El Ouata 1500/1200,Boukais 1600/1200,Mougheul 1600/1200,Abadla 1700/1200,Kerzaz 1700/1200,Ksabi 1700/1200,Tamtert 1500/1200,Beni Ounif 1700/1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blida,Blida 600/500,Chebli 700/500,Bouinan 700/500,Oued Alleug 600/500,Ouled Yaïch 600/500,Chréa 700/500,El Affroun 700/500,Chiffa 600/500,Hammam Melouane 800/500,Benkhelil 700/500,Soumaa 600/500,Mouzaia 600/500,Souhane 800/500,Meftah 700/500,Ouled Slama 700/500,Boufarik 600/500,Larbaa 800/500,Oued Djer 700/500,Beni Tamou 600/500,Bouarfa 600/500,Beni Mered 600/500,Bougara 800/500,Guerouaou 600/500,Aïn Romana 700/500,Djebabra 800/500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bouira,Aïn Bessem 900/650,Hanif 900/650,Aghbalou 1000/650,Aïn El Hadjar 800/650,Ahl El Ksar 900/650,Aïn Laloui 900/650,Ath Mansour 900/650,Aomar 900/650,Aïn El Turc 900/650,Aït Laziz 900/650,Bouderbala 1000/650,Bechloul 900/650,Bir Ghbalou 900/650,Boukram 1000/650,Bordj Okhriss 1000/650,Bouira 800/650,Chorfa 1000/650,Dechmia 900/650,Dirrah 1000/650,Djebahia 900/650,El Hakimia 1000/650,El Hachimia 900/650,El Adjiba 900/650,El Khabouzia 900/650,El Mokrani 1000/650,El Asnam 800/650,Guerrouma 1000/650,Haizer 800/650,Hadjera Zerga 1000/650,Kadiria 900/650,Lakhdaria 1000/650,M'Chedallah 1000/650,Mezdour 1000/650,Maala 900/650,Maamora 1000/650,Oued El Berdi 800/650,Ouled Rached 900/650,Raouraoua 900/650,Ridane 1000/650,Saharidj 1000/650,Sour El Ghouzlane 900/650,Souk El Khemis 900/650,Taguedit 1000/650,Taghzout 800/650,Zbarbar 1000/650,,,,,,,,,,,,,,,,,,,,,,
