,,,,
Colonne 1,Wilaya,communes,Bureaux,Domicile
Central,Adrar,Adrar,1850 DA,1400 DA
Central,Adrar,Tamest,1850 DA,1600 DA
Central,Adrar,Reggane,1850 DA,1700 DA
Central,Adrar,In Zghmir,1850 DA,1700 DA
Central,Adrar,Tit,1850 DA,1700 DA
Central,Adrar,Tsabit,1850 DA,1600 DA
Central,Adrar,Zaouiet Kounta,1850 DA,1600 DA
Central,Adrar,Aoulef,1850 DA,1700 DA
Central,Adrar,Tamekten,1850 DA,1700 DA
Central,Adrar,Tamantit,1850 DA,1400 DA
Central,Adrar,Fenoughil,1850 DA,1600 DA
Central,Adrar,Sali,1850 DA,1700 DA
Central,Adrar,Akabli,1850 DA,1700 DA
Central,Adrar,Ouled Ahmed Tammi,1850 DA,1400 DA
Central,Adrar,Bouda,1850 DA,1400 DA
Central,Adrar,Sebaa,1850 DA,1400 DA
Central,Adrar,Akabli,1850 DA,1700 DA
Central,Adrar,Aoulef,1850 DA,1700 DA
Central,Adrar,Bouda,1850 DA,1400 DA
Central,Adrar,Fenoughil,1850 DA,1600 DA
Central,Adrar,In Zghmir,1850 DA,1700 DA
Central,Adrar,Ouled Ahmed Tammi,1850 DA,1400 DA
Central,Adrar,Reggane,1850 DA,1700 DA
Central,Adrar,Sali,1850 DA,1700 DA
Central,Adrar,Sebaa,1850 DA,1400 DA
Central,Adrar,Tamantit,1850 DA,1400 DA
Central,Adrar,Tamekten,1850 DA,1700 DA
Central,Adrar,Tamest,1850 DA,1600 DA
Central,Adrar,Tit,1850 DA,1700 DA
Central,Adrar,Tsabit,1850 DA,1600 DA
Central,Adrar,Zaouiet Kounta,1850 DA,1600 DA
Central,Adrar,Akabli,1850 DA,1700 DA
Central,Adrar,Aoulef,1850 DA,1700 DA
Central,Adrar,Bouda,1850 DA,1400 DA
Central,Adrar,Fenoughil,1850 DA,1600 DA
Central,Adrar,In Zghmir,1850 DA,1700 DA
Central,Adrar,Ouled Ahmed Tammi,1850 DA,1400 DA
Central,Adrar,Reggane,1850 DA,1700 DA
Central,Adrar,Sali,1850 DA,1700 DA
Central,Adrar,Sebaa,1850 DA,1400 DA
Central,Adrar,Tamantit,1850 DA,1400 DA
Central,Adrar,Tamekten,1850 DA,1700 DA
Central,Adrar,Tamest,1850 DA,1600 DA
Central,Adrar,Tit,1850 DA,1700 DA
Central,Adrar,Tsabit,1850 DA,1600 DA
Central,Adrar,Zaouiet Kounta,1850 DA,1600 DA
Central,Laghouat,Laghouat,1 050 DA,950 DA
Central,Laghouat,Ksar El Hirane,1 050 DA,1050 DA
Central,Laghouat,Bennasser Benchohra,1 050 DA,1050 DA
Central,Laghouat,Sidi Makhlouf,1 050 DA,1150 DA
Central,Laghouat,Hassi Delaa,1 050 DA,1250 DA
Central,Laghouat,Hassi R'Mel,1 050 DA,1250 DA
Central,Laghouat,Aïn Madhi,1 050 DA,1150 DA
Central,Laghouat,Tadjemout,1 050 DA,1150 DA
Central,Laghouat,Kheneg,1 050 DA,950 DA
Central,Laghouat,Gueltat Sidi Saad,1 050 DA,1250 DA
Central,Laghouat,Aïn Sidi Ali,1 050 DA,950 DA
Central,Laghouat,Beidha,1 050 DA,950 DA
Central,Laghouat,Brida,1 050 DA,950 DA
Central,Laghouat,El Ghicha,1 050 DA,1250 DA
Central,Laghouat,Hadj Mechri,1 050 DA,950 DA
Central,Laghouat,Sebgag,1 050 DA,950 DA
Central,Laghouat,Taouiala,1 050 DA,950 DA
Central,Laghouat,Tadjrouna,1 050 DA,950 DA
Central,Laghouat,Aflou,1 050 DA,1250 DA
Central,Laghouat,El Assafia,1 050 DA,1250 DA
Central,Laghouat,Oued Morra,1 050 DA,950 DA
Central,Laghouat,Oued M'Zi,1 050 DA,1250 DA
Central,Laghouat,El Houaita,1 050 DA,1150 DA
Central,Laghouat,Sidi Bouzid,1 050 DA,950 DA
Central,Chlef,Chlef,900 DA,800 DA
Central,Chlef,Ténès,900 DA,1000 DA
Central,Chlef,Bénairia,900 DA,900 DA
Central,Chlef,El Karimia,900 DA,900 DA
Central,Chlef,Tadjena,900 DA,1000 DA
Central,Chlef,Taougrite,900 DA,1000 DA
Central,Chlef,Beni Haoua,900 DA,1000 DA
Central,Chlef,Sobha,900 DA,900 DA
Central,Chlef,Harchoun,900 DA,900 DA
